_id,name,price,rating,url,crawled_at
{ "$oid" : "53d735e2893a231c7053ccd9"},"Motorola Flip Cover for Moto G (White)", null ,"Rs. 1190","/motorola-flip-cover-moto-g/p/itmduze7wn63dmeq?pid=ACCDSGVGP87SWYXW&otracker=from-search&srno=t_11&query=moto+g&ref=ed0716ad-bccd-40c0-9bd7-c88d20665db6",{ "$date" : 1406612962007}
{ "$oid" : "53d735e2893a231c7053ccda"},"Motorola Grip Back Cover for Moto G (Black)", null ,"Rs. 770","/motorola-grip-back-cover-moto-g/p/itmdsvzwzh9m8khz?pid=ACCDSGVGZ6WGKDWK&otracker=from-search&srno=t_12&query=moto+g&ref=ed0716ad-bccd-40c0-9bd7-c88d20665db6",{ "$date" : 1406612962008}
{ "$oid" : "53d735e2893a231c7053ccdb"},"Moto E (Black)", null ,"Rs. 6999","/moto-e/p/itmdvuwsybgnbtha?pid=MOBDVHC6XKKPZ3GZ&otracker=from-search&srno=t_13&query=moto+g&ref=ed0716ad-bccd-40c0-9bd7-c88d20665db6",{ "$date" : 1406612962010}
{ "$oid" : "53d735e2893a231c7053ccdc"},"Moto E (White)", null ,"Rs. 6999","/moto-e/p/itmdvuwsybgnbtha?pid=MOBDVHC6TH4PZGSM&otracker=from-search&srno=t_14&query=moto+g&ref=ed0716ad-bccd-40c0-9bd7-c88d20665db6",{ "$date" : 1406612962011}
{ "$oid" : "53d735e2893a231c7053ccdd"},"Moto X (16 GB) (White)", null ,"Rs. 23999","/moto-x-16-gb/p/itmdwgffrgc885qt?pid=MOBDSGU2YZEWAVZP&otracker=from-search&srno=t_15&query=moto+g&ref=ed0716ad-bccd-40c0-9bd7-c88d20665db6",{ "$date" : 1406612962013}
{ "$oid" : "53d735e2893a231c7053ccde"},"nCase Back Cover for Moto G (Black)", null ,"Rs. 595","/ncase-back-cover-moto-g/p/itmdu5w8rfa5g8rm?pid=ACCDU5W8RFA5G8RM&otracker=from-search&srno=t_16&query=moto+g&ref=ed0716ad-bccd-40c0-9bd7-c88d20665db6",{ "$date" : 1406612962014}
{ "$oid" : "53d735e2893a231c7053ccdf"},"Amzer Back Cover for Moto G (Black)", null ,"Rs. 499","/amzer-back-cover-moto-g/p/itmdqrh7qzhakq5k?pid=ACCDQRH7BXVZXSZH&otracker=from-search&srno=t_17&query=moto+g&ref=ed0716ad-bccd-40c0-9bd7-c88d20665db6",{ "$date" : 1406612962016}
{ "$oid" : "53d735e2893a231c7053cce0"},"Sony CP-V3/B USB Portable Charger (Black)", null ,"Rs. 1215","/sony-cp-v3-b-usb-portable-charger/p/itmdpgqhwpg33rh2?pid=ACCDPGQHK4ZBPVAB&otracker=from-search&srno=t_18&query=moto+g&ref=ed0716ad-bccd-40c0-9bd7-c88d20665db6",{ "$date" : 1406612962017}
{ "$oid" : "53d735e2893a231c7053cce1"},"Stylish Back Cover for Motorola Moto G (Black)", null ,"Rs. 245","/stylish-back-cover-motorola-moto-g/p/itmdty43qjyryq6c?pid=ACCDTY43QJYRYQ6C&otracker=from-search&srno=t_19&query=moto+g&ref=ed0716ad-bccd-40c0-9bd7-c88d20665db6",{ "$date" : 1406612962018}
{ "$oid" : "53d735e2893a231c7053cce2"},"Motorola Flip Cover for Moto G (Purple)", null ,"Rs. 1190","/motorola-flip-cover-moto-g/p/itmduzfru5rqepzg?pid=ACCDSGVGD9H3CFV4&otracker=from-search&srno=t_20&query=moto+g&ref=ed0716ad-bccd-40c0-9bd7-c88d20665db6",{ "$date" : 1406612962019}
